final_asset,ruined
24658673.504036114,0
4787285.954204465,0
16095853.807104077,0
-10416072.629440924,1
-4197739.928578065,1
-458786.96552568197,1
20332163.633143287,0
-882525.0218582193,1
22932931.525706287,0
65601228.64586801,0
-775946.8294627394,1
17490139.722728696,0
60049950.873248994,0
-5239303.9019046575,1
-12677734.993955366,1
17985098.415997475,0
19911063.790006794,0
32952517.68287612,0
36633709.39036482,0
-3968390.662988153,1
18572139.551188957,0
13891042.384204416,0
67122355.47734535,0
66875708.968485914,0
14520447.278384656,0
23055830.136693712,0
51626166.64015931,0
4477733.449255431,0
44938622.615728475,0
23091675.76322843,0
-7672423.4918379225,1
4265545.323958792,0
15226557.55641247,0
13376457.195709601,0
76088791.60011263,0
27950143.064052492,0
2491727.543569424,0
13098179.730529359,0
